s,kN
0.003,0.0014
0.015,0.0009
0.027,0.0014
0.039,0.0004
0.051,0.0002
0.063,0.0004
0.076,1.00E-04
0.088,0.0003
0.1,1.00E-04
0.112,0.0003
0.124,0.0014
0.136,0.0021
0.149,0.0019
0.161,0.0011
0.173,0.0008
0.185,0.0006
0.197,0.0011
0.209,0.0016
0.221,0.0013
0.234,0.0008
0.246,0.0006
0.258,0.0016
0.27,0.0011
0.282,0.0014
0.294,0.0008
0.307,0.0008
0.319,0.0013
0.331,0.001
0.343,0.0009
0.355,0.0008
0.367,0.0017
0.38,0.0015
0.397,0.0017
0.409,0.0008
0.421,0.0009
0.433,0.0011
0.446,0.0013
0.458,0.0015
0.47,0.0016
0.482,0.0014
0.494,0.0013
0.506,0.0012
0.518,0.0014
0.531,0.0018
0.543,0.0018
0.555,0.0016
0.567,0.0012
0.579,0.0006
0.591,0.0007
0.604,0.0012
0.616,0.0014
0.628,0.0013
0.64,0.0015
0.652,0.0015
0.664,0.0017
0.676,0.0016
0.689,0.002
0.708,0.0015
0.72,0.0014
0.732,0.0008
0.744,0.0007
0.757,0.001
0.769,0.0014
0.781,0.0011
0.793,0.0016
0.805,0.0012
0.817,0.0014
0.83,0.0015
0.847,0.001
0.859,0.0012
0.871,0.0015
0.883,0.0018
0.895,0.0015
0.908,0.0014
0.92,0.0014
0.932,0.0014
0.944,0.0018
0.956,0.0016
0.968,0.0013
0.981,0.0017
0.993,0.0021
1.005,0.0023
1.017,0.0025
1.029,0.002
1.041,0.0017
1.054,0.0012
1.066,0.0007
1.078,0.0012
1.09,0.0017
1.102,0.0014
1.114,0.0019
1.126,0.0021
1.139,0.002
1.151,0.0016
1.163,0.0014
1.175,0.0017
1.187,0.002
1.199,0.0016
1.211,0.0012
1.224,0.0013
1.236,0.001
1.248,0.0011
1.26,0.0005
1.272,0.0005
1.284,0.0016
1.302,0.001
1.314,0.0015
1.326,0.0018
1.338,0.0018
1.35,0.0012
1.363,0.0133
1.375,0.0016
1.397,0.0012
1.41,0.0016
1.422,0.0016
1.434,0.0017
1.446,0.0017
1.458,0.0019
1.47,0.0014
1.482,0.0015
1.495,0.0017
1.507,0.0009
1.519,0.001
1.531,0.0114
1.543,0.0012
1.566,0.0012
1.578,0.0016
1.59,0.0016
1.602,0.0012
1.614,0.0012
1.626,0.0014
1.639,0.0015
1.651,0.0015
1.663,0.0019
1.675,0.002
1.687,0.0026
1.699,0.0013
1.712,0.0018
1.724,0.002
1.736,0.0019
1.748,0.0018
1.765,0.0024
1.778,0.0021
1.79,0.0024
1.802,0.0026
1.814,0.0021
1.826,0.0019
1.838,0.002
1.85,0.002
1.863,0.0022
1.875,0.002
1.887,0.0019
1.899,0.002
1.911,0.0014
1.923,0.0021
1.935,0.0023
1.948,0.0021
1.96,0.0024
1.972,0.0021
1.984,0.0024
1.996,0.0024
2.008,0.0015
2.021,0.0013
2.033,0.0017
2.045,0.0017
2.057,0.0018
2.069,0.0018
2.081,0.0016
2.093,0.0017
2.105,0.0019
2.118,0.0017
2.13,0.0017
2.142,0.0022
2.154,0.0023
2.166,0.0018
2.178,0.0012
2.19,0.002
2.203,0.0019
2.22,0.0012
2.232,0.001
2.244,0.0011
2.256,0.0012
2.268,0.0007
2.281,0.0013
2.293,0.0021
2.305,0.0022
2.317,0.0018
2.329,0.0019
2.341,0.0015
2.354,0.0017
2.366,0.0017
2.378,0.0014
2.39,0.0017
2.402,0.0016
2.414,0.0013
2.426,0.0015
2.439,0.0013
2.451,0.0017
2.463,0.0017
2.475,0.0018
2.487,0.0022
2.499,0.0014
2.511,0.0015
2.524,0.0023
2.536,0.003
2.548,0.0036
2.56,0.0045
2.572,0.0045
2.584,0.0042
2.596,0.0048
2.609,0.007
2.621,0.0086
2.633,0.0104
2.645,0.0124
2.657,0.0145
2.675,0.0167
2.687,0.0244
2.699,0.0288
2.712,0.0345
2.724,0.0415
2.736,0.0506
2.748,0.0621
2.76,0.0729
2.772,0.0834
2.784,0.0935
2.796,0.1025
2.809,0.1128
